payment_key_hash_hex,addresses,agent_balance_base,agent_flux_units,shards_balance_base,shards_flux_units,flux_pass_balance_base,flux_pass_flux_units,se_brawlers_balance_base,se_brawlers_flux_units,brawl_pass_etd_balance_base,brawl_pass_etd_flux_units,t1_adam_pass_balance_base,t1_adam_pass_flux_units,t2_adam_pass_balance_base,t2_adam_pass_flux_units,flux_total_units,flux_total_display
7cab6ea23b1a4f801ad946eaebb3ba7feb3238ef5e8790db208200a8,addr1q972km4z8vdylqq6m9rw46anhfl7kv3caa0g0yxmyzpqp29ey63ejlapsg0ldphfks6a4c03ekh5eu59exwzdaxwg02sw6zuul,163856,75847348794,0,0,0,0,0,0,0,0,0,0,0,0,75847348794,75847.348794
7caf8cc9590323da00983683742b6a8e7d5dac918eb4aa4143e0ad18,addr1q972lrxftypj8ksqnqmgxaptd2886hdvjx8tf2jpg0s26x8wm34swtvkxadgy05xpd83m4luajk3n59qwewpr38atjgqx9gd99,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7cb9c1820cb1738d3f074975267a276373c6975d5c8d39c7e7b0d829,addr1q97tnsvzpjch8rflqayh2fn6ya3h835ht4wg6ww8u7cds2txafdg055h3lrvhar7gneq66ws70pp64awrazpnklwhmcqu58z73,0,0,4000000,116490352,0,0,0,0,0,0,0,0,0,0,116490352,116.490352
7cc0a75b5cb283bc3cf2e5ffbab9fcedf67881a539426fa892ed0937,addr1q97vpf6mtjeg80pu7tjllw4elnklv7yp55u5ymagjtksjd6rud63957fw8740vc4f56705waykadwaazu5athhwhyyeqgwxrnw,819959,379551046469,0,0,0,0,0,0,0,0,0,0,0,0,379551046469,379551.046469
7cc69ab3df6dfc9ab2c215292b569cc201301bdd41c86f33b09fbff9,addr1q97vdx4nmaklex4jcg2jj26knnpqzvqmm4qusmenkz0ml7w299pk8sfaypd430wcd5cthh5zkkrqsjca7j6uv3ke9gysuct848,0,0,5000000,145612940,0,0,0,0,0,0,0,0,0,0,145612940,145.61294
7cc939b0639ec056d405ef722e36d5030a2b5b5231c6430d206f3a1a,addr1q97vjwdsvw0vq4k5qhhhyt3k65ps526m2gcuvscdyphn5x3r5hg7r9utp63z87aprdfunyaz7gtfxtwmwhf2vnzzsvtq2j9c48,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7cca4376905e316674ee0c44a995217025ab070504c130cd0f3f2bd0,addr1q97v5smkjp0rzen5acxyf2v4y9czt2c8q5zvzvxdpuljh5xe0lkfxavk9mzcgk8ac9lh5ztnf2zmlmrx7hn0acdky5jqrzcqez,127962,59232365287,0,0,0,0,0,0,0,0,0,0,0,0,59232365287,59232.365287
7cccad37aad8799169df900362f7a592dc148e9ba00f500319787042,addr1q97vetfh4tv8nytfm7gqxchh5kfdc9ywnwsq75qrr9u8qskwknk3nljakv2mp77exj9la00a646nzakfe0tgg07xdh3spknh9j,0,0,31000000,902800232,0,0,0,0,0,0,0,0,0,0,902800232,902.800232
7ccf77a24f5d38e608c114f771f97745cb3bac98335dea75502459ba,addr1q97v7aazfawn3esgcy20wu0ewazukwavnqe4m6n42qj9nw466m4sysl039gc5g3ts69mxazncr9fwknfrj99n98ar67q02zu47,0,0,3000000,87367764,0,0,0,0,0,0,0,0,0,0,87367764,87.367764
7cdc0a3c8f6483ffbc82c0b80a1729618a6ee6fb5ae45e3ba4762234,addr1q97dcz3u3ajg8laustqtszsh99sc5mhxlddwgh3m53mzydyzfx2nnzs0dejj0fy7zfh3zwryqvy40cwqftqtujrv3mkqxzygxp,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7cdd57d913968b5d3df9d6cad00e3746b26050233a2ca27829762ed3,addr1q97d647ezwtgkhfal8tv45qwxartyczsyvazegnc99mza5cntsznrz3rwp7xh8wx62vl083c92wuyy6fv52et5h6cptqd3gyh0,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7ce4cef42a367d1d802e2e6a80c8d4ce4af0e3689b851e7d7ac0cd18,addr1q97wfnh59gm868vq9chx4qxg6n8y4u8rdzdc28na0tqv6x993tk2x6yzgtc5xh5f5k7ermyrc7vpejr06qzwa6ydgzxs4kuj27,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
